Date,Open,High,Low,Close,Volumne
7/15/2010 11:50:00 AM,334.81,340,328.05,333.1,5012200
7/15/2010 11:48:00 AM,320.18,335.34,319.09,335.34,4712500
7/15/2010 11:46:00 AM,325.99,329.73,318.59,319.69,4946800
7/15/2010 11:44:00 AM,326.1,327.46,319.03,324.42,3906400
7/15/2010 11:42:00 AM,317.54,325,313.65,323.53,5024100
7/15/2010 11:40:00 AM,310.1,320,305.71,317.91,5923600
7/15/2010 11:38:00 AM,298.25,310.5,294.25,308.17,6730200
7/15/2010 11:36:00 AM,299.98,306.57,289.45,290.89,6471300
7/15/2010 11:34:00 AM,307.22,310.19,294.25,308.57,7234200
7/15/2010 11:32:00 AM,316.48,319.08,302.64,305.64,6529900
7/15/2010 11:30:00 AM,323.16,329,315.38,318.92,7818400
7/15/2010 11:28:00 AM,330.07,333.69,322.35,325.48,6524800
7/15/2010 11:26:00 AM,333.33,340.7,326,327.16,5788500
7/15/2010 11:24:00 AM,332.95,343.82,331.11,337.99,5420000
7/15/2010 11:22:00 AM,345.96,352.49,337.16,337.18,5605600
7/15/2010 11:20:00 AM,342.15,352.3,338.92,341.64,6439100
7/15/2010 11:18:00 AM,331.02,349.62,330.89,345.45,6095900
7/15/2010 11:16:00 AM,347,349.8,329.55,330.06,5221100
7/15/2010 11:14:00 AM,338.05,348.92,335,346.45,6217100
7/15/2010 11:12:00 AM,357.47,359.8,341.41,342.64,4988700
7/15/2010 11:10:00 AM,347.24,353.38,340.52,353.11,6024500
7/15/2010 11:08:00 AM,346.51,347.09,339.69,342.66,5680400
7/15/2010 11:06:00 AM,362.19,362.99,355.23,357.68,4146700
7/15/2010 11:04:00 AM,353.16,363.62,351.48,363.05,5550300
7/15/2010 11:02:00 AM,358.95,365,353,358.04,5231600
7/15/2010 11:00:00 AM,375.98,377.5,357.89,358.51,7103700
7/15/2010 10:58:00 AM,371.28,381,367.3,378.77,4977300
7/15/2010 10:56:00 AM,356.46,373.81,355.44,371.28,7038100
7/15/2010 10:54:00 AM,340.91,355.38,337,353.72,7264400
7/15/2010 10:52:00 AM,340.07,354.44,339.17,343,6817400
7/15/2010 10:50:00 AM,342.57,343,333.83,340.45,6556500
7/15/2010 10:48:00 AM,334.29,345,332,340.57,5206900
